Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RS
LAD,NL,2003,556,85,0.303,0.368,0.243,0,,,162,0.306,0.354,574
MIL,NL,2003,873,68,0.32899999999999996,0.419,0.256,0,,,162,0.348,0.462,714
MIN,AL,2003,758,90,0.341,0.431,0.27699999999999997,1,6,4,162,0.319,0.428,801
MON,NL,2003,716,83,0.326,0.401,0.258,0,,,162,0.327,0.423,711
NYM,NL,2003,754,66,0.314,0.374,0.247,0,,,161,0.345,0.43799999999999994,642
NYY,AL,2003,716,101,0.35600000000000004,0.45299999999999996,0.271,1,1,2,163,0.314,0.40700000000000003,877
OAK,AL,2003,643,96,0.327,0.41700000000000004,0.254,1,3,4,162,0.314,0.376,768
PHI,NL,2003,697,86,0.34299999999999997,0.419,0.261,0,,,162,0.327,0.401,791
PIT,NL,2003,801,75,0.33799999999999997,0.42,0.267,0,,,162,0.336,0.431,753
SDP,NL,2003,831,64,0.33299999999999996,0.38799999999999996,0.261,0,,,162,0.341,0.43700000000000006,678
SEA,AL,2003,637,93,0.344,0.41,0.271,0,,,162,0.311,0.38799999999999996,795
SFG,NL,2003,638,100,0.33799999999999997,0.425,0.264,1,2,4,161,0.321,0.386,755
STL,NL,2003,796,85,0.35,0.45399999999999996,0.27899999999999997,0,,,162,0.336,0.452,876
TBD,AL,2003,852,63,0.32,0.40399999999999997,0.265,0,,,162,0.34700000000000003,0.44,715
TEX,AL,2003,969,71,0.33,0.45399999999999996,0.266,0,,,162,0.36,0.473,826
TOR,AL,2003,826,86,0.349,0.455,0.27899999999999997,0,,,162,0.337,0.441,894
ANA,AL,2002,644,99,0.341,0.433,0.282,1,3,1,162,0.314,0.392,851
ARI,NL,2002,674,98,0.34600000000000003,0.423,0.267,1,4,4,162,0.305,0.397,819
ATL,NL,2002,565,101,0.331,0.409,0.26,1,2,4,161,0.313,0.364,708
BAL,AL,2002,773,67,0.309,0.40299999999999997,0.24600000000000002,0,,,162,0.336,0.435,667
BOS,AL,2002,665,93,0.345,0.444,0.27699999999999997,0,,,162,0.308,0.385,859
CHC,NL,2002,759,67,0.321,0.413,0.24600000000000002,0,,,162,0.331,0.40700000000000003,706
CHW,AL,2002,798,81,0.33799999999999997,0.449,0.268,0,,,162,0.33,0.423,856
CIN,NL,2002,774,78,0.33,0.408,0.253,0,,,162,0.33799999999999997,0.426,709
CLE,AL,2002,837,74,0.321,0.41200000000000003,0.249,0,,,162,0.348,0.423,739
COL,NL,2002,898,73,0.337,0.423,0.27399999999999997,0,,,162,0.349,0.466,778
DET,AL,2002,864,55,0.3,0.379,0.248,0,,,161,0.34299999999999997,0.455,575
FLA,NL,2002,763,79,0.337,0.40299999999999997,0.261,0,,,162,0.341,0.415,699
HOU,NL,2002,695,84,0.33799999999999997,0.41700000000000004,0.262,0,,,162,0.33,0.41,749
KCR,AL,2002,891,62,0.32299999999999995,0.39799999999999996,0.256,0,,,162,0.349,0.46399999999999997,737
LAD,NL,2002,643,92,0.32,0.409,0.264,0,,,162,0.315,0.387,713
MIL,NL,2002,821,56,0.32,0.39,0.253,0,,,162,0.35200000000000004,0.442,627
MIN,AL,2002,712,94,0.332,0.43700000000000006,0.272,1,7,3,161,0.318,0.42100000000000004,768
MON,NL,2002,718,83,0.33399999999999996,0.418,0.261,0,,,162,0.32899999999999996,0.42100000000000004,735
NYM,NL,2002,703,75,0.322,0.395,0.256,0,,,161,0.327,0.40299999999999997,690
NYY,AL,2002,697,103,0.354,0.455,0.275,1,1,4,161,0.309,0.395,897
OAK,AL,2002,654,103,0.33899999999999997,0.43200000000000005,0.261,1,1,4,162,0.315,0.384,800
PHI,NL,2002,724,80,0.33899999999999997,0.42200000000000004,0.259,0,,,161,0.32799999999999996,0.401,710
PIT,NL,2002,730,72,0.319,0.381,0.244,0,,,161,0.342,0.423,641
SDP,NL,2002,815,66,0.321,0.381,0.253,0,,,162,0.34600000000000003,0.442,662
SEA,AL,2002,699,93,0.35,0.419,0.275,0,,,162,0.315,0.41,814
SFG,NL,2002,616,95,0.344,0.442,0.267,1,6,2,162,0.319,0.37200000000000005,783
STL,NL,2002,648,97,0.33799999999999997,0.425,0.268,1,5,3,162,0.32299999999999995,0.386,787
TBD,AL,2002,918,55,0.314,0.39,0.253,0,,,161,0.35700000000000004,0.46299999999999997,673
TEX,AL,2002,882,72,0.33799999999999997,0.455,0.26899999999999996,0,,,162,0.355,0.451,843
TOR,AL,2002,828,78,0.327,0.43,0.261,0,,,162,0.344,0.431,813
ANA,AL,2001,730,75,0.327,0.405,0.261,0,,,162,0.331,0.41200000000000003,691
ARI,NL,2001,677,92,0.341,0.442,0.267,1,5,1,162,0.311,0.40399999999999997,818
ATL,NL,2001,643,88,0.324,0.41200000000000003,0.26,1,7,3,162,0.314,0.384,729
BAL,AL,2001,829,63,0.319,0.38,0.248,0,,,162,0.337,0.439,687
BOS,AL,2001,745,82,0.33399999999999996,0.439,0.266,0,,,161,0.32899999999999996,0.39299999999999996,772
CHC,NL,2001,701,88,0.336,0.43,0.261,0,,,162,0.321,0.39799999999999996,777
CHW,AL,2001,795,83,0.33399999999999996,0.451,0.268,0,,,162,0.33399999999999996,0.42700000000000005,798
CIN,NL,2001,850,66,0.324,0.419,0.262,0,,,162,0.341,0.455,735
CLE,AL,2001,821,91,0.35,0.45799999999999996,0.278,1,6,4,162,0.341,0.41700000000000004,897
COL,NL,2001,906,73,0.354,0.483,0.292,0,,,162,0.35,0.48,923
DET,AL,2001,876,66,0.32,0.409,0.26,0,,,162,0.35700000000000004,0.461,724
FLA,NL,2001,744,76,0.326,0.423,0.264,0,,,162,0.33799999999999997,0.41100000000000003,742
HOU,NL,2001,769,93,0.34700000000000003,0.451,0.271,1,4,4,162,0.325,0.43700000000000006,847
KCR,AL,2001,858,65,0.318,0.409,0.266,0,,,162,0.348,0.45,729
LAD,NL,2001,744,86,0.32299999999999995,0.425,0.255,0,,,162,0.32299999999999995,0.41100000000000003,758
MIL,NL,2001,806,68,0.319,0.426,0.251,0,,,162,0.35,0.44,740
MIN,AL,2001,766,85,0.337,0.433,0.272,0,,,162,0.325,0.43700000000000006,771
MON,NL,2001,812,68,0.319,0.396,0.253,0,,,162,0.33899999999999997,0.441,670
NYM,NL,2001,713,82,0.32299999999999995,0.387,0.249,0,,,162,0.314,0.419,642
NYY,AL,2001,713,95,0.33399999999999996,0.435,0.267,1,3,2,161,0.318,0.39799999999999996,804
OAK,AL,2001,645,102,0.345,0.439,0.264,1,2,4,162,0.308,0.38,884
PHI,NL,2001,719,86,0.32899999999999996,0.414,0.26,0,,,162,0.32899999999999996,0.424,746
PIT,NL,2001,858,62,0.313,0.39299999999999996,0.247,0,,,162,0.344,0.433,657
SDP,NL,2001,812,79,0.336,0.39899999999999997,0.252,0,,,162,0.33,0.45,789
SEA,AL,2001,627,116,0.36,0.445,0.28800000000000003,1,1,3,162,0.301,0.37799999999999995,927
SFG,NL,2001,748,90,0.342,0.46,0.266,0,,,162,0.32899999999999996,0.40399999999999997,799
STL,NL,2001,684,93,0.33899999999999997,0.441,0.27,1,4,4,162,0.32799999999999996,0.428,814
TBD,AL,2001,887,62,0.32,0.38799999999999996,0.258,0,,,162,0.345,0.452,672
TEX,AL,2001,968,73,0.344,0.47100000000000003,0.275,0,,,162,0.36200000000000004,0.494,890
TOR,AL,2001,753,80,0.325,0.43,0.263,0,,,162,0.33899999999999997,0.435,767
ANA,AL,2000,869,82,0.35200000000000004,0.47200000000000003,0.28,0,,,162,0.35100000000000003,0.45299999999999996,864
ARI,NL,2000,754,85,0.33299999999999996,0.429,0.265,0,,,162,0.326,0.424,792
ATL,NL,2000,714,95,0.34600000000000003,0.429,0.271,1,2,4,162,0.319,0.402,810
BAL,AL,2000,913,74,0.341,0.435,0.272,0,,,162,0.35200000000000004,0.449,794
BOS,AL,2000,745,85,0.341,0.423,0.267,0,,,162,0.322,0.41100000000000003,792
CHC,NL,2000,904,65,0.335,0.41100000000000003,0.256,0,,,162,0.348,0.452,764
CHW,AL,2000,839,95,0.35600000000000004,0.47,0.28600000000000003,1,2,4,162,0.34600000000000003,0.434,978
CIN,NL,2000,765,85,0.34299999999999997,0.447,0.27399999999999997,0,,,163,0.341,0.43799999999999994,825
CLE,AL,2000,816,90,0.36700000000000005,0.47,0.28800000000000003,0,,,162,0.35,0.425,950
COL,NL,2000,897,82,0.36200000000000004,0.455,0.294,0,,,162,0.354,0.47100000000000003,968
DET,AL,2000,827,79,0.34299999999999997,0.43799999999999994,0.275,0,,,162,0.34,0.44299999999999995,823
FLA,NL,2000,797,79,0.331,0.409,0.262,0,,,161,0.348,0.429,731
HOU,NL,2000,944,72,0.361,0.47700000000000004,0.278,0,,,162,0.353,0.47600000000000003,938
KCR,AL,2000,930,77,0.348,0.425,0.28800000000000003,0,,,162,0.36200000000000004,0.474,879
LAD,NL,2000,729,86,0.341,0.431,0.257,0,,,162,0.332,0.40700000000000003,798
MIL,NL,2000,826,73,0.325,0.40299999999999997,0.24600000000000002,0,,,163,0.35700000000000004,0.42,740
MIN,AL,2000,880,69,0.337,0.40700000000000003,0.27,0,,,162,0.34700000000000003,0.466,748
MON,NL,2000,902,67,0.326,0.43200000000000005,0.266,0,,,162,0.353,0.449,738
NYM,NL,2000,738,94,0.34600000000000003,0.43,0.263,1,3,2,162,0.327,0.40299999999999997,807
NYY,AL,2000,814,87,0.354,0.45,0.27699999999999997,1,5,1,161,0.336,0.42200000000000004,871
OAK,AL,2000,813,91,0.36,0.45799999999999996,0.27,1,4,4,161,0.348,0.423,947
PHI,NL,2000,830,65,0.32899999999999996,0.4,0.251,0,,,162,0.34299999999999997,0.44799999999999995,708
PIT,NL,2000,888,69,0.33899999999999997,0.424,0.267,0,,,162,0.361,0.43200000000000005,793
SDP,NL,2000,815,76,0.33,0.402,0.254,0,,,162,0.34,0.41600000000000004,752
SEA,AL,2000,780,91,0.361,0.442,0.26899999999999996,1,4,3,162,0.33899999999999997,0.41600000000000004,907
SFG,NL,2000,747,97,0.36200000000000004,0.47200000000000003,0.278,1,1,4,162,0.342,0.41200000000000003,925
STL,NL,2000,771,95,0.35600000000000004,0.455,0.27,1,2,3,162,0.33799999999999997,0.434,887
TBD,AL,2000,842,69,0.32899999999999996,0.39899999999999997,0.257,0,,,161,0.345,0.451,733
TEX,AL,2000,974,71,0.35200000000000004,0.446,0.28300000000000003,0,,,162,0.369,0.475,848
TOR,AL,2000,908,83,0.341,0.469,0.275,0,,,162,0.354,0.456,861
ANA,AL,1999,826,70,0.322,0.395,0.256,0,,,162,0.34600000000000003,0.42700000000000005,711
ARI,NL,1999,676,100,0.34700000000000003,0.45899999999999996,0.27699999999999997,1,2,4,162,0.32,0.402,908
ATL,NL,1999,661,103,0.341,0.436,0.266,1,1,2,162,0.314,0.377,840
BAL,AL,1999,815,78,0.353,0.447,0.27899999999999997,0,,,162,0.35,0.441,851
BOS,AL,1999,718,94,0.35,0.44799999999999995,0.278,1,6,3,162,0.315,0.39799999999999996,836
CHC,NL,1999,920,67,0.32899999999999996,0.42,0.257,0,,,162,0.34600000000000003,0.467,747
CHW,AL,1999,870,75,0.337,0.429,0.27699999999999997,0,,,162,0.353,0.447,777
CIN,NL,1999,711,96,0.341,0.451,0.272,0,,,163,0.324,0.41100000000000003,865
CLE,AL,1999,860,97,0.373,0.467,0.289,1,4,4,162,0.34700000000000003,0.439,1009
COL,NL,1999,1028,72,0.348,0.47200000000000003,0.28800000000000003,0,,,162,0.384,0.499,906
DET,AL,1999,882,69,0.326,0.44299999999999995,0.261,0,,,161,0.349,0.451,747
FLA,NL,1999,852,64,0.325,0.395,0.263,0,,,162,0.359,0.44,691
HOU,NL,1999,675,97,0.355,0.42,0.267,1,4,4,162,0.326,0.397,823
KCR,AL,1999,921,64,0.348,0.433,0.282,0,,,161,0.365,0.45399999999999996,856
LAD,NL,1999,787,77,0.33899999999999997,0.42,0.266,0,,,162,0.336,0.42200000000000004,793
MIL,NL,1999,886,74,0.353,0.426,0.273,0,,,161,0.35600000000000004,0.457,815
MIN,AL,1999,845,63,0.32799999999999996,0.384,0.264,0,,,161,0.342,0.465,686
MON,NL,1999,853,68,0.32299999999999995,0.42700000000000005,0.265,0,,,162,0.342,0.418,718
NYM,NL,1999,711,97,0.363,0.434,0.27899999999999997,1,4,3,163,0.331,0.418,853
NYY,AL,1999,731,98,0.366,0.45299999999999996,0.282,1,3,1,162,0.32899999999999996,0.4,900
OAK,AL,1999,846,87,0.355,0.446,0.259,0,,,162,0.344,0.428,893
PHI,NL,1999,846,77,0.35100000000000003,0.431,0.275,0,,,162,0.34700000000000003,0.447,841
PIT,NL,1999,782,78,0.33399999999999996,0.419,0.259,0,,,161,0.34299999999999997,0.42,775
SDP,NL,1999,781,74,0.332,0.39299999999999996,0.252,0,,,162,0.33299999999999996,0.43,710
SEA,AL,1999,905,79,0.34299999999999997,0.455,0.26899999999999996,0,,,162,0.368,0.45399999999999996,859
SFG,NL,1999,831,86,0.35600000000000004,0.434,0.271,0,,,162,0.345,0.423,872
STL,NL,1999,838,75,0.33799999999999997,0.426,0.262,0,,,161,0.355,0.42700000000000005,809
TBD,AL,1999,913,69,0.34299999999999997,0.41100000000000003,0.27399999999999997,0,,,162,0.371,0.44799999999999995,772
TEX,AL,1999,859,95,0.361,0.479,0.293,1,5,4,162,0.34600000000000003,0.45899999999999996,945
TOR,AL,1999,862,84,0.35200000000000004,0.457,0.28,0,,,162,0.353,0.456,883
ANA,AL,1998,783,85,0.335,0.415,0.272,0,,,162,,,787
ARI,NL,1998,812,65,0.314,0.39299999999999996,0.24600000000000002,0,,,162,,,665
ATL,NL,1998,581,106,0.342,0.45299999999999996,0.272,1,2,3,162,,,826
BAL,AL,1998,785,79,0.34700000000000003,0.447,0.273,0,,,162,,,817
BOS,AL,1998,729,92,0.348,0.46299999999999997,0.28,1,5,4,162,,,876
CHC,NL,1998,792,90,0.337,0.433,0.264,1,6,4,163,,,831
CHW,AL,1998,931,80,0.33899999999999997,0.444,0.271,0,,,163,,,861
CIN,NL,1998,760,77,0.337,0.402,0.262,0,,,162,,,750
CLE,AL,1998,779,89,0.34700000000000003,0.44799999999999995,0.272,1,7,3,162,,,850
COL,NL,1998,855,77,0.34700000000000003,0.461,0.29100000000000004,0,,,162,,,826
DET,AL,1998,863,65,0.32299999999999995,0.415,0.264,0,,,162,,,722
FLA,NL,1998,923,54,0.317,0.373,0.248,0,,,162,,,667
HOU,NL,1998,620,102,0.35600000000000004,0.436,0.28,1,3,4,162,,,874
KCR,AL,1998,899,72,0.324,0.39899999999999997,0.263,0,,,161,,,714
LAD,NL,1998,678,83,0.31,0.387,0.252,0,,,162,,,669
MIL,NL,1998,812,74,0.33,0.396,0.26,0,,,162,,,707
MIN,AL,1998,818,70,0.32799999999999996,0.389,0.266,0,,,162,,,734
MON,NL,1998,783,65,0.31,0.39399999999999996,0.249,0,,,162,,,644
NYM,NL,1998,645,88,0.33,0.39399999999999996,0.259,0,,,162,,,706
NYY,AL,1998,656,114,0.364,0.46,0.28800000000000003,1,1,1,162,,,965
OAK,AL,1998,866,74,0.33799999999999997,0.397,0.257,0,,,162,,,804
PHI,NL,1998,808,75,0.326,0.395,0.264,0,,,162,,,713
PIT,NL,1998,718,69,0.311,0.374,0.254,0,,,163,,,650
SDP,NL,1998,635,98,0.33,0.409,0.253,1,4,2,162,,,749
SEA,AL,1998,855,76,0.345,0.46799999999999997,0.276,0,,,161,,,859
SFG,NL,1998,739,89,0.353,0.42100000000000004,0.27399999999999997,0,,,163,,,845
STL,NL,1998,782,83,0.341,0.441,0.258,0,,,163,,,810
TBD,AL,1998,751,63,0.321,0.385,0.261,0,,,162,,,620
TEX,AL,1998,871,88,0.35700000000000004,0.462,0.289,1,8,4,162,,,940
TOR,AL,1998,768,88,0.34,0.44799999999999995,0.266,0,,,163,,,816
ANA,AL,1997,794,84,0.34600000000000003,0.41600000000000004,0.272,0,,,162,,,829
ATL,NL,1997,581,101,0.34299999999999997,0.426,0.27,1,1,3,162,,,791
BAL,AL,1997,681,98,0.341,0.429,0.268,1,2,3,162,,,812
BOS,AL,1997,857,78,0.35200000000000004,0.46299999999999997,0.29100000000000004,0,,,162,,,851
CHC,NL,1997,759,68,0.321,0.396,0.263,0,,,162,,,687
CHW,AL,1997,833,80,0.341,0.41700000000000004,0.273,0,,,161,,,779
CIN,NL,1997,764,76,0.321,0.389,0.253,0,,,162,,,651
CLE,AL,1997,815,86,0.358,0.467,0.28600000000000003,1,6,2,161,,,868
COL,NL,1997,908,83,0.35700000000000004,0.478,0.28800000000000003,0,,,162,,,923
DET,AL,1997,790,79,0.332,0.415,0.258,0,,,162,,,784
FLA,NL,1997,669,92,0.34600000000000003,0.395,0.259,1,4,1,162,,,740
HOU,NL,1997,660,84,0.344,0.40299999999999997,0.259,1,7,4,162,,,777
KCR,AL,1997,820,67,0.33299999999999996,0.40700000000000003,0.264,0,,,161,,,747
LAD,NL,1997,645,88,0.33,0.418,0.268,0,,,162,,,742
MIL,AL,1997,742,78,0.325,0.39799999999999996,0.26,0,,,161,,,681
MIN,AL,1997,861,68,0.33299999999999996,0.409,0.27,0,,,162,,,772
MON,NL,1997,740,78,0.316,0.425,0.258,0,,,162,,,691
NYM,NL,1997,709,88,0.332,0.405,0.262,0,,,162,,,777
NYY,AL,1997,688,96,0.36200000000000004,0.436,0.287,1,3,4,162,,,891
OAK,AL,1997,946,65,0.33899999999999997,0.423,0.26,0,,,162,,,764
PHI,NL,1997,840,68,0.322,0.385,0.255,0,,,162,,,668
PIT,NL,1997,760,79,0.32899999999999996,0.40399999999999997,0.262,0,,,162,,,725
SDP,NL,1997,891,76,0.342,0.40700000000000003,0.271,0,,,162,,,795
SEA,AL,1997,833,90,0.355,0.485,0.28,1,5,4,162,,,925
SFG,NL,1997,793,90,0.337,0.414,0.258,1,5,4,162,,,784
STL,NL,1997,708,73,0.324,0.396,0.255,0,,,162,,,689
TEX,AL,1997,823,77,0.33399999999999996,0.43799999999999994,0.27399999999999997,0,,,162,,,807
TOR,AL,1997,694,76,0.31,0.389,0.244,0,,,162,,,654
ATL,NL,1996,648,96,0.33299999999999996,0.43200000000000005,0.27,1,2,2,162,,,773
BAL,AL,1996,903,88,0.35,0.47200000000000003,0.27399999999999997,1,6,3,163,,,949
BOS,AL,1996,921,85,0.359,0.457,0.28300000000000003,0,,,162,,,928
CAL,AL,1996,943,70,0.33899999999999997,0.431,0.276,0,,,161,,,762
CHC,NL,1996,771,76,0.32,0.401,0.251,0,,,162,,,772
CHW,AL,1996,794,85,0.36,0.447,0.281,0,,,162,,,898
CIN,NL,1996,773,81,0.331,0.42200000000000004,0.256,0,,,162,,,778
CLE,AL,1996,769,99,0.369,0.475,0.293,1,1,4,161,,,952
COL,NL,1996,964,83,0.355,0.47200000000000003,0.287,0,,,162,,,961
DET,AL,1996,1103,53,0.32299999999999995,0.42,0.256,0,,,162,,,783
FLA,NL,1996,703,80,0.32899999999999996,0.39299999999999996,0.257,0,,,162,,,688
HOU,NL,1996,792,82,0.336,0.397,0.262,0,,,162,,,753
KCR,AL,1996,786,75,0.332,0.39799999999999996,0.267,0,,,161,,,746
LAD,NL,1996,652,90,0.316,0.384,0.252,1,5,4,162,,,703
MIL,AL,1996,899,80,0.353,0.441,0.27899999999999997,0,,,162,,,894
MIN,AL,1996,900,78,0.35700000000000004,0.425,0.28800000000000003,0,,,162,,,877
MON,NL,1996,668,88,0.327,0.406,0.262,0,,,162,,,741
NYM,NL,1996,779,71,0.324,0.41200000000000003,0.27,0,,,162,,,746
NYY,AL,1996,787,92,0.36,0.436,0.28800000000000003,1,3,1,162,,,871
OAK,AL,1996,900,78,0.344,0.452,0.265,0,,,162,,,861
PHI,NL,1996,790,67,0.325,0.387,0.256,0,,,162,,,650
PIT,NL,1996,833,73,0.32899999999999996,0.40700000000000003,0.266,0,,,162,,,776
SDP,NL,1996,682,91,0.33799999999999997,0.402,0.265,1,4,4,162,,,771
SEA,AL,1996,895,85,0.366,0.484,0.287,0,,,161,,,993
SFG,NL,1996,862,68,0.331,0.38799999999999996,0.253,0,,,162,,,752
STL,NL,1996,706,88,0.33,0.40700000000000003,0.267,1,6,3,162,,,759
TEX,AL,1996,799,90,0.358,0.469,0.284,1,5,4,163,,,928
TOR,AL,1996,809,74,0.331,0.42,0.259,0,,,162,,,766
ATL,NL,1993,559,104,0.331,0.408,0.262,1,1,3,162,,,767
BAL,AL,1993,745,85,0.34600000000000003,0.413,0.267,0,,,162,,,786
BOS,AL,1993,698,80,0.33,0.395,0.264,0,,,162,,,686
CAL,AL,1993,770,71,0.331,0.38,0.26,0,,,162,,,684
CHC,NL,1993,739,84,0.325,0.414,0.27,0,,,163,,,738
CHW,AL,1993,664,94,0.33799999999999997,0.41100000000000003,0.265,1,4,3,162,,,776
CIN,NL,1993,785,73,0.324,0.396,0.264,0,,,162,,,722
CLE,AL,1993,813,76,0.335,0.409,0.275,0,,,162,,,790
COL,NL,1993,967,67,0.32299999999999995,0.42200000000000004,0.273,0,,,162,,,758
DET,AL,1993,837,85,0.36200000000000004,0.434,0.275,0,,,162,,,899
FLA,NL,1993,724,64,0.314,0.34600000000000003,0.248,0,,,162,,,581
HOU,NL,1993,630,85,0.33,0.409,0.267,0,,,162,,,716
KCR,AL,1993,694,84,0.32,0.397,0.263,0,,,162,,,675
LAD,NL,1993,662,81,0.321,0.38299999999999995,0.261,0,,,162,,,675
MIL,AL,1993,792,69,0.32799999999999996,0.37799999999999995,0.258,0,,,162,,,733
MIN,AL,1993,830,71,0.327,0.385,0.264,0,,,162,,,693
MON,NL,1993,682,94,0.326,0.386,0.257,0,,,163,,,732
NYM,NL,1993,744,59,0.305,0.39,0.248,0,,,162,,,672
NYY,AL,1993,761,88,0.353,0.435,0.27899999999999997,0,,,162,,,821
OAK,AL,1993,846,68,0.33,0.39399999999999996,0.254,0,,,162,,,715
PHI,NL,1993,740,97,0.35100000000000003,0.426,0.27399999999999997,1,2,2,162,,,877
PIT,NL,1993,806,75,0.335,0.39299999999999996,0.267,0,,,162,,,707
SDP,NL,1993,772,61,0.312,0.389,0.252,0,,,162,,,679
SEA,AL,1993,731,82,0.33899999999999997,0.406,0.26,0,,,162,,,734
SFG,NL,1993,636,103,0.34,0.42700000000000005,0.276,0,,,162,,,808
STL,NL,1993,744,87,0.341,0.395,0.272,0,,,162,,,758
TEX,AL,1993,751,86,0.32899999999999996,0.431,0.267,0,,,162,,,835
TOR,AL,1993,742,95,0.35,0.436,0.27899999999999997,1,3,1,162,,,847
ATL,NL,1992,569,98,0.316,0.38799999999999996,0.254,1,1,2,162,,,682
BAL,AL,1992,656,89,0.34,0.39799999999999996,0.259,0,,,162,,,705
BOS,AL,1992,669,73,0.321,0.34700000000000003,0.24600000000000002,0,,,162,,,599
CAL,AL,1992,671,72,0.301,0.33799999999999997,0.243,0,,,162,,,579
CHC,NL,1992,624,78,0.307,0.364,0.254,0,,,162,,,593
CHW,AL,1992,690,86,0.336,0.38299999999999995,0.261,0,,,162,,,738
CIN,NL,1992,609,90,0.32799999999999996,0.382,0.26,0,,,162,,,660
CLE,AL,1992,746,76,0.32299999999999995,0.38299999999999995,0.266,0,,,162,,,674
DET,AL,1992,794,75,0.337,0.40700000000000003,0.256,0,,,162,,,791
HOU,NL,1992,668,81,0.313,0.359,0.24600000000000002,0,,,162,,,608
KCR,AL,1992,667,72,0.315,0.364,0.256,0,,,162,,,610
LAD,NL,1992,636,63,0.313,0.33899999999999997,0.248,0,,,162,,,548
MIL,AL,1992,604,92,0.33,0.375,0.268,0,,,162,,,740
MIN,AL,1992,653,90,0.341,0.391,0.27699999999999997,0,,,162,,,747
MON,NL,1992,581,87,0.313,0.37,0.252,0,,,162,,,648
NYM,NL,1992,653,72,0.31,0.342,0.235,0,,,162,,,599
NYY,AL,1992,746,76,0.32799999999999996,0.406,0.261,0,,,162,,,733
OAK,AL,1992,672,96,0.34600000000000003,0.386,0.258,1,2,3,162,,,745
PHI,NL,1992,717,70,0.32,0.377,0.253,0,,,162,,,686
PIT,NL,1992,595,96,0.324,0.381,0.255,1,2,3,162,,,693
SDP,NL,1992,636,82,0.313,0.386,0.255,0,,,162,,,617
SEA,AL,1992,799,64,0.32299999999999995,0.402,0.263,0,,,162,,,679
SFG,NL,1992,647,72,0.302,0.355,0.244,0,,,162,,,574
STL,NL,1992,604,83,0.32299999999999995,0.375,0.262,0,,,162,,,631
TEX,AL,1992,753,77,0.321,0.39299999999999996,0.25,0,,,162,,,682
TOR,AL,1992,682,96,0.33299999999999996,0.414,0.263,1,2,1,162,,,780
ATL,NL,1991,644,94,0.32799999999999996,0.39299999999999996,0.258,1,3,2,162,,,749
BAL,AL,1991,796,67,0.319,0.401,0.254,0,,,162,,,686
BOS,AL,1991,712,84,0.34,0.401,0.26899999999999996,0,,,162,,,731
CAL,AL,1991,649,81,0.314,0.374,0.255,0,,,162,,,653
CHC,NL,1991,734,77,0.309,0.39,0.253,0,,,160,,,695
CHW,AL,1991,681,87,0.336,0.391,0.262,0,,,162,,,758
CIN,NL,1991,691,74,0.32,0.40299999999999997,0.258,0,,,162,,,689
CLE,AL,1991,759,57,0.313,0.35,0.254,0,,,162,,,576
DET,AL,1991,794,84,0.33299999999999996,0.41600000000000004,0.247,0,,,162,,,817
HOU,NL,1991,717,65,0.309,0.34700000000000003,0.244,0,,,162,,,605
KCR,AL,1991,722,82,0.32799999999999996,0.39399999999999996,0.264,0,,,162,,,727
LAD,NL,1991,565,93,0.326,0.359,0.253,0,,,162,,,665
MIL,AL,1991,744,83,0.336,0.396,0.271,0,,,162,,,799
MIN,AL,1991,652,95,0.344,0.42,0.28,1,2,1,162,,,776
MON,NL,1991,655,71,0.308,0.35700000000000004,0.24600000000000002,0,,,161,,,579
NYM,NL,1991,646,77,0.317,0.365,0.244,0,,,161,,,640
NYY,AL,1991,777,71,0.316,0.387,0.256,0,,,162,,,674
OAK,AL,1991,776,84,0.331,0.389,0.248,0,,,162,,,760
PHI,NL,1991,680,78,0.303,0.358,0.24100000000000002,0,,,162,,,629
PIT,NL,1991,632,98,0.33799999999999997,0.39799999999999996,0.263,1,1,3,162,,,768
SDP,NL,1991,646,84,0.31,0.36200000000000004,0.244,0,,,162,,,636
SEA,AL,1991,674,83,0.32799999999999996,0.38299999999999995,0.255,0,,,162,,,702
SFG,NL,1991,697,75,0.309,0.381,0.24600000000000002,0,,,162,,,649
STL,NL,1991,648,84,0.322,0.35700000000000004,0.255,0,,,162,,,651
TEX,AL,1991,814,85,0.341,0.424,0.27,0,,,162,,,829
TOR,AL,1991,622,91,0.322,0.4,0.257,1,4,3,162,,,684
ATL,NL,1990,821,65,0.311,0.396,0.25,0,,,162,,,682
BAL,AL,1990,698,76,0.33,0.37,0.245,0,,,161,,,669
BOS,AL,1990,664,88,0.344,0.395,0.272,1,4,3,162,,,699
CAL,AL,1990,706,80,0.32899999999999996,0.391,0.26,0,,,162,,,690
CHC,NL,1990,774,77,0.314,0.392,0.263,0,,,162,,,690
CHW,AL,1990,633,94,0.32,0.379,0.258,0,,,162,,,682
CIN,NL,1990,597,91,0.325,0.39899999999999997,0.265,1,3,1,162,,,693
CLE,AL,1990,737,77,0.324,0.391,0.267,0,,,162,,,732
DET,AL,1990,754,79,0.337,0.409,0.259,0,,,162,,,750
HOU,NL,1990,656,75,0.313,0.345,0.242,0,,,162,,,573
KCR,AL,1990,709,75,0.32799999999999996,0.395,0.267,0,,,161,,,707
LAD,NL,1990,685,86,0.32799999999999996,0.382,0.262,0,,,162,,,728
MIL,AL,1990,760,74,0.32,0.384,0.256,0,,,162,,,732
MIN,AL,1990,729,74,0.324,0.385,0.265,0,,,162,,,666
